epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,12796.3,0.47126,0.67229,1.16068,0.84319,0.68421,0.70767,0.56307,1.20158,1.36129,1.83508,0.0007922,0.0007922,0.0007922
63,12897.4,0.50141,0.77006,1.09773,0.72262,0.57895,0.67569,0.51995,1.1481,1.15005,1.73611,0.0007724,0.0007724,0.0007724
64,12999.2,0.45046,0.67218,1.11213,0.5617,0.60769,0.64218,0.49398,1.15915,1.29006,1.76046,0.0007526,0.0007526,0.0007526
65,13100.7,0.442,0.64469,1.08764,0.6941,0.78947,0.7096,0.56072,1.11896,1.32503,1.73577,0.0007328,0.0007328,0.0007328
66,13202.9,0.42666,0.63876,1.06465,0.70899,0.78947,0.68929,0.57296,1.1018,1.40471,1.75142,0.000713,0.000713,0.000713
67,13307.7,0.39572,0.68562,1.05035,0.7459,0.78947,0.71881,0.59675,1.14066,1.33656,1.79714,0.0006932,0.0006932,0.0006932
68,13693.7,0.37556,0.64359,1.04697,0.78421,0.78947,0.75115,0.59602,1.14787,1.26138,1.80336,0.0006734,0.0006734,0.0006734
69,13837.2,0.46101,0.68323,1.10768,0.78295,0.78947,0.75149,0.60647,1.08284,1.17778,1.72166,0.0006536,0.0006536,0.0006536
70,13975.5,0.41195,0.59836,1.05415,0.78037,0.78947,0.73936,0.59411,1.10645,1.20819,1.76195,0.0006338,0.0006338,0.0006338
71,14106.2,0.38414,0.63104,1.04346,0.77328,0.78947,0.68118,0.56999,1.20768,1.44822,1.80579,0.000614,0.000614,0.000614
72,14246.1,0.40943,0.59468,1.04665,0.77823,0.78947,0.67766,0.57929,1.14454,1.45136,1.75883,0.0005942,0.0005942,0.0005942
73,14393.6,0.45073,0.65851,1.10161,0.76946,0.73684,0.67467,0.58521,1.05863,1.53031,1.70771,0.0005744,0.0005744,0.0005744
74,14534.3,0.44093,0.65705,1.1041,0.77756,0.73597,0.67421,0.57955,1.03357,1.54283,1.71101,0.0005546,0.0005546,0.0005546
75,14672.1,0.36643,0.56199,1.05179,0.77506,0.73684,0.67433,0.57199,1.0691,1.5988,1.77764,0.0005348,0.0005348,0.0005348
76,14813.4,0.34739,0.57321,1.0298,0.76842,0.73684,0.68079,0.56907,1.10917,1.65716,1.81901,0.000515,0.000515,0.000515
77,14957,0.38288,0.63298,1.04849,0.73676,0.73655,0.6723,0.55255,1.22409,1.84788,1.93987,0.0004952,0.0004952,0.0004952
78,15094.1,0.39277,0.63377,1.06586,0.73382,0.72596,0.67187,0.54688,1.33034,1.99365,2.00157,0.0004754,0.0004754,0.0004754
79,15236.6,0.36353,0.60144,1.02692,0.75681,0.68421,0.69755,0.55402,1.39599,2.04617,2.11666,0.0004556,0.0004556,0.0004556
80,15373.2,0.41025,0.5767,1.08412,0.80853,0.68421,0.70334,0.55775,1.35898,2.05884,2.0964,0.0004358,0.0004358,0.0004358
